type,short_title,long_title,plan_type,label,id,date,short_topic,long_topic,lat,lon,zone,zone_detail,name,role,start,end
trip,NA,NA,NA,NA,trip_65,0040-05-23,NA,NA,NA,NA,NA,NA,NA,NA,06:19:00,08:27:00
trip,NA,NA,NA,NA,trip_114,0040-05-14,NA,NA,NA,NA,NA,NA,NA,NA,07:31:00,10:21:00
trip,NA,NA,NA,NA,trip_227,0040-07-16,NA,NA,NA,NA,NA,NA,NA,NA,07:28:00,08:00:00
place,NA,NA,NA,NA,48534978,NA,NA,NA,-165.58690251542836,39.511543954732794,government,post office,Lomark Post Office,NA,NA,NA
trip,NA,NA,NA,NA,trip_224,0040-05-18,NA,NA,NA,NA,NA,NA,NA,NA,07:08:00,07:37:00
place,NA,NA,NA,NA,Suna Spit,NA,NA,NA,-165.75677149453168,39.594240090235004,connector,NA,Suna Spit,NA,NA,NA
place,NA,NA,NA,NA,30179401,NA,NA,NA,-165.88193775383604,39.657052492613595,government,customs,Himark Customs,NA,NA,NA
place,NA,NA,NA,NA,Port Grove Ferry Terminal,NA,NA,NA,-165.95445417136068,39.09221996333593,government,NA,Port Grove Ferry Terminal,NA,NA,NA
place,NA,NA,NA,NA,37866955,NA,NA,NA,-164.3360581789102,39.41241400428792,government,city hall,Paackland City Hall,NA,NA,NA
trip,NA,NA,NA,NA,trip_106,0040-04-19,NA,NA,NA,NA,NA,NA,NA,NA,07:00:00,19:00:00
trip,NA,NA,NA,NA,trip_267,0040-04-08,NA,NA,NA,NA,NA,NA,NA,NA,07:53:00,09:48:00
place,NA,NA,NA,NA,Lomark Ferry Terminal,NA,NA,NA,-165.56286099848157,39.52326717231431,government,NA,Lomark Ferry Terminal,NA,NA,NA
entity.person,NA,NA,NA,NA,Carol Limpet,NA,NA,NA,NA,NA,NA,NA,Carol Limpet,Member,NA,NA
entity.person,NA,NA,NA,NA,Simone Kat,NA,NA,NA,NA,NA,NA,NA,Simone Kat,Member,NA,NA
trip,NA,NA,NA,NA,trip_116,0040-06-01,NA,NA,NA,NA,NA,NA,NA,NA,07:07:00,13:00:00
place,NA,NA,NA,NA,48511194,NA,NA,NA,-165.6003499240121,39.55045654962996,commercial,NA,NA,NA,NA,NA
place,NA,NA,NA,NA,48580702,NA,NA,NA,-165.59964180138792,39.550885245266905,commercial,NA,NA,NA,NA,NA
place,NA,NA,NA,NA,35889122,NA,NA,NA,-165.69023073674674,39.004597552589075,residential,NA,NA,NA,NA,NA
trip,NA,NA,NA,NA,trip_22,0040-06-03,NA,NA,NA,NA,NA,NA,NA,NA,07:46:00,09:33:00
place,NA,NA,NA,NA,35885796,NA,NA,NA,-165.67928633674674,38.99644715258907,industrial,NA,NA,NA,NA,NA
place,NA,NA,NA,NA,Haacklee Ferry Terminal,NA,NA,NA,-165.69052499370062,38.98619322533421,government,NA,Haacklee Ferry Terminal,NA,NA,NA
place,NA,NA,NA,NA,37826661,NA,NA,NA,-164.37123305208138,39.42202773680567,government,post office,Paackland Post Office,NA,NA,NA
trip,NA,NA,NA,NA,trip_138,0040-05-28,NA,NA,NA,NA,NA,NA,NA,NA,07:15:00,08:40:00
trip,NA,NA,NA,NA,trip_178,0040-06-22,NA,NA,NA,NA,NA,NA,NA,NA,07:00:00,19:00:00
place,NA,NA,NA,NA,36988137,NA,NA,NA,-165.95607396535178,39.09538178424596,commercial,restaurant,Harbor Bistro,NA,NA,NA
place,NA,NA,NA,NA,12629409643,NA,NA,NA,-165.59197117413012,39.555853129130476,industrial,NA,NA,NA,NA,NA
trip,NA,NA,NA,NA,trip_149,0040-05-06,NA,NA,NA,NA,NA,NA,NA,NA,14:00:00,19:00:00
place,NA,NA,NA,NA,582184557,NA,NA,NA,-164.56334829936853,39.27182934781,government,environmental,Pacific Nature Bureau,NA,NA,NA
place,NA,NA,NA,NA,South Paackland Ferry Terminal,NA,NA,NA,-164.5617706590138,39.085916893028504,government,NA,South Paackland Ferry Terminal,NA,NA,NA
place,NA,NA,NA,NA,48475647,NA,NA,NA,-165.59719356711753,39.521992579121736,government,city hall,Lomark Civic Plaza,NA,NA,NA
